Book Title,Author Name,Year of Publication,Genre
Uncle Tom's Cabin,Harriet Beecher Stowe,1850,Literature
War and Peace,Лев Толстой,1864,Literature
The Red Badge of Courage,Stephen Crane,1855,Literature
The Moonstone,"Wilkie Collins, Pieter Koster, Sandra Kemp, Andronum",1868,Literature
The Prisoner of Zenda,"Anthony Hope, Gary Hoppenstand, Diane Mowat, Alan Marks, Francesc Ràfols, Andrew Pugsley, Summer M. Hogan, Summer Hogan, Smidgen Press, Charles Dana Gibson, Daniel Lanza Barba, Javier Fornell Fernandez, Stephen Colbourn, Katy Jackson, James Wilby, Robinson, M., Paula Benitez",1800,Literature
The Tenant of Wildfell Hall,Anne Brontë,1847,Literature
Alice's Adventures in Wonderland / Through the Looking Glass,Lewis Carroll,1889,Literature
Les Misérables,Victor Hugo,1800,Literature
To the Lighthouse,Virginia Woolf,1927,Literature
"Villette, a novel",Charlotte Brontë,1853,Literature
King Henry V,William Shakespeare,1600,Literature
This Side of Paradise,F. Scott Fitzgerald,1920,Literature
Metamorphoses,Ovid,1479,Literature
Mrs. Dalloway,Virginia Woolf,1925,Literature
Voyage Out,Virginia Woolf,1915,Literature
Heart of Darkness,Joseph Conrad,1899,Literature
Little men,"Louisa May Alcott, Reginald Birch, J. T. Barbarese, John Matteson, Alfredo Ricardo Abraham, Ricardo Abraham, Reginald Bathurst Birch, Reginald Bathurst 1856-1943 Birch, Reginald B. Birch, Jan Oliveira",1885,Literature
The Importance of Being Earnest,Oscar Wilde,1893,Literature
A la recherche du temps perdu,Marcel Proust,1914,Literature
Nineteen Eighty-Four,George Orwell,1949,Literature
Barchester Towers,Anthony Trollope,1857,Literature
The King in Yellow,Robert W. Chambers,1895,Literature
The War of the Worlds,H. G. Wells,1898,Literature
The Woman in White,Wilkie Collins,1860,Literature
Jude the Obscure,Thomas Hardy,1895,Literature
Bleak House,"Charles Dickens, Kingfisher Classics, Andronum, Sylvère Monod, Aurélien Bellanger, Kevin Theis",1850,Literature
Antony and Cleopatra,William Shakespeare,1734,Literature
Animal Farm,George Orwell,1945,Literature
Captains Courageous,Rudyard Kipling,1896,Literature
Of Human Bondage,William Somerset Maugham,1915,Literature
The moon and sixpence,William Somerset Maugham,1919,Literature
Greenmantle,John Buchan,1915,Literature
The Jungle,Upton Sinclair,1905,Literature
King Richard II,William Shakespeare,1597,Literature
Kidnapped,Robert Louis Stevenson,1886,Literature
Der Proceß,Franz Kafka,1925,Literature
Lord Jim,Joseph Conrad,1900,Literature
A Portrait of the Artist as a Young Man,James Joyce,1818,Literature
Cranford,Elizabeth Cleghorn Gaskell,1853,Literature
Orlando,Virginia Woolf,1928,Literature
Coriolanus,William Shakespeare,1734,Literature
Kim,Rudyard Kipling,1901,Literature
Tender is the Night,F. Scott Fitzgerald,1933,Literature
Братья Карамазовы,Фёдор Михайлович Достоевский,1880,Literature
Heretics,Gilbert Keith Chesterton,1905,Literature
